supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	known_nt	known_nt_source	side	nerve	vfb_id	fbbt_id	status
76635548609025923	720575940615053580	87512	66016	3664	87512.0	66016.0	3664.0	1940062.0	intrinsic	visual_projection				LC4				acetylcholine	0.5296869018066843	acetylcholine	Davis et al., 2020	left		fw020562	FBbt_00003874	
82124791624087314	720575940621753579	167104	72784	3120	167104.0	72784.0	3120.0	7137907.0	intrinsic	visual_projection				LC4				acetylcholine	0.6181143699734393	acetylcholine	Davis et al., 2020	right		fw020596	FBbt_00003874	
77198498629668255	720575940628081541	96160	66088	4256	96160.0	66088.0	4256.0	2125010.0	intrinsic	visual_projection				LC4				acetylcholine	0.5961615779921929	acetylcholine	Davis et al., 2020	left		fw020718	FBbt_00003874	
77198636001892616	720575940614572742	95560	67856	4045	95560.0	67856.0	4045.0	2123474.0	intrinsic	visual_projection				LC4				acetylcholine	0.5599702293836716	acetylcholine	Davis et al., 2020	left		fw020738	FBbt_00003874	
77198429910048054	720575940622108001	95168	64888	4143	95168.0	64888.0	4143.0	2109905.0	intrinsic	visual_projection				LC4				acetylcholine	0.5970081416313718	acetylcholine	Davis et al., 2020	left		fw021106	FBbt_00003874	
82054285441521463	720575940629964591	166000	70424	3563	166000.0	70424.0	3563.0	7137657.0	intrinsic	visual_projection				LC4				acetylcholine	0.6137226690685323	acetylcholine	Davis et al., 2020	right		fw021181	FBbt_00003874	
82124654185199323	720575940645821316	167704	70840	3173	167704.0	70840.0	3173.0	7138002.0	intrinsic	visual_projection				LC4				acetylcholine	0.6723702629804618	acetylcholine	Davis et al., 2020	right		fw021186	FBbt_00003874	
77128198538094238	720575940640612480	94496	66544	3927	94496.0	66544.0	3927.0	2123154.0	intrinsic	visual_projection				LC4				acetylcholine	0.6831420706401865	acetylcholine	Davis et al., 2020	left		fw021247	FBbt_00003874	
77268936093398654	720575940628462340	96752	66464	4315	96752.0	66464.0	4315.0	2125187.0	intrinsic	visual_projection				LC4				acetylcholine	0.5766449059662723	acetylcholine	Davis et al., 2020	left		fw021435	FBbt_00003874	
81983848044444636	720575940618267227	165352	69856	3668	165352.0	69856.0	3668.0	7137546.0	intrinsic	visual_projection				LC4				acetylcholine	0.5768035743385873	acetylcholine	Davis et al., 2020	right		fw021629	FBbt_00003874	
76635479889575402	720575940619397542	87376	65096	3688	87376.0	65096.0	3688.0	1894715.0	intrinsic	visual_projection				LC4				acetylcholine	0.579549086157529	acetylcholine	Davis et al., 2020	left		fw021966	FBbt_00003874	
82195091648789138	720575940603637438	168208	72272	3130	168208.0	72272.0	3130.0	7138081.0	intrinsic	visual_projection				LC4				acetylcholine	0.673364411833264	acetylcholine	Davis et al., 2020	right		fw021979	FBbt_00003874	
82124585466008011	720575940625841351	167656	69944	3397	167656.0	69944.0	3397.0	7137992.0	intrinsic	visual_projection				LC4				acetylcholine	0.6698268642076451	acetylcholine	Davis et al., 2020	right		fw022591	FBbt_00003874	
81983710605632271	720575940618234715	165264	67808	3771	165264.0	67808.0	3771.0	7137524.0	intrinsic	visual_projection				LC4				acetylcholine	0.6321254577805517	acetylcholine	Davis et al., 2020	right		fw023128	FBbt_00003874	
82265322954155795	720575940612380723	168992	69496	3247	168992.0	69496.0	3247.0	7138201.0	intrinsic	visual_projection				LC4				acetylcholine	0.6239781812810907	acetylcholine	Davis et al., 2020	right		fw023143	FBbt_00003874	
82335691698213686	720575940620314612	170856	69968	3149	170856.0	69968.0	3149.0	7138452.0	intrinsic	visual_projection				LC4				acetylcholine	0.5271705746295182	acetylcholine	Davis et al., 2020	right		fw023309	FBbt_00003874	
76705917353184622	720575940618807105	88272	66032	3643	88272.0	66032.0	3643.0	1940628.0	intrinsic	visual_projection				LC4				acetylcholine	0.5386059660476914	acetylcholine	Davis et al., 2020	left		fw023566	FBbt_00003874	
82054216722001327	720575940635835967	166576	69696	3523	166576.0	69696.0	3523.0	7137773.0	intrinsic	visual_projection				LC4				acetylcholine	0.6580199964196337	acetylcholine	Davis et al., 2020	right		fw003188	FBbt_00003874	
82054148002536594	720575940618275520	166456	68776	3541	166456.0	68776.0	3541.0	7137732.0	intrinsic	visual_projection				LC4				acetylcholine	0.5636071077864484	acetylcholine	Davis et al., 2020	right		fw024326	FBbt_00003874	
82124654185586845	720575940612968421	167008	70520	3453	167008.0	70520.0	3453.0	7137891.0	intrinsic	visual_projection				LC4				acetylcholine	0.6102739881561219	acetylcholine	Davis et al., 2020	right		fw025523	FBbt_00003874	
77198292471374376	720575940611134833	95542	62410	4344	95785.0	65160.0	4274.0		intrinsic	visual_projection				LC4				acetylcholine	0.5634265783395052	acetylcholine	Davis et al., 2020	left		fw044701	FBbt_00003874	
76917023787007093	720575940618312606	91751	65404	5159	84504.0	55552.0	4136.0	1852264.0	intrinsic	visual_projection				LC4				acetylcholine	0.5627326617740898	acetylcholine	Davis et al., 2020	left		fw047617	FBbt_00003874	
76987667275330790	720575940628064260	92547	70129	4494	85664.0	57664.0	4166.0	1852895.0	intrinsic	visual_projection				LC4				acetylcholine	0.5962915630283564	acetylcholine	Davis et al., 2020	left		fw047665	FBbt_00003874	
77268867373829684	720575940618676440	96554	65614	4252	96505.0	65509.0	4242.0		intrinsic	visual_projection				LC4				acetylcholine	0.5946219636060353	acetylcholine	Davis et al., 2020	left		fw047782	FBbt_00003874	
